Name,Year,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
Tiruchirappalli,2001,2418366,4271856,1209832,1673478,926354,747124,744888,282180,462708,245875,121030,124845,1064521,687814,376707,1353845,520720,833125
Tirap,2001,100326,1923878,47789,33404,22456,10948,66922,30081,36841,198,122,76,49074,27433,21641,51252,25104,26148
Tinsukia,2001,1150062,227905,548963,588302,355444,232858,561760,245655,316105,10221,6732,3489,466351,304459,161892,683711,296640,387071
Tikamgarh,2001,1202998,3745875,565085,542498,355842,186656,660500,282071,378429,38296,25173,13123,566177,332993,233184,636821,304920,331901
Thrissur,2001,2974232,1803524,1552180,2437592,1191026,1246566,536640,231026,305614,72962,44913,28049,955300,719253,236047,2018932,702799,1316133
Thoubal,2001,364140,766225,181890,202102,122109,79993,162038,60141,101897,13820,8080,5740,177343,93011,84332,186797,89239,97558
Thoothukkudi,2001,1572273,1517896,805450,1131406,593868,537538,440867,172955,267912,123988,65921,58067,678811,431784,247027,893462,335039,558423
Thiruvarur,2001,1169474,1140905,588690,788302,435421,352881,381172,145363,235809,199580,122933,76647,491003,331530,159473,678471,249254,429217
Thiruvananthapuram,2001,3234356,1849283,1664439,2558494,1280412,1278082,675862,289505,386357,75701,66140,9561,1047935,806554,241381,2186421,763363,1423058
Thiruvallur,2001,2754756,1474723,1357349,1865707,1047763,817944,889049,349644,539405,158833,94447,64386,1037097,768717,268380,1717659,628690,1088969
Theni,2001,1093950,4343645,540964,692797,398150,294647,401153,154836,246317,245989,129061,116928,520280,318282,201998,573670,234704,338966
The Nilgiris,2001,762141,791434,383790,541099,296573,244526,221042,81778,139264,38775,21275,17500,343385,207563,135822,418756,170788,247968
The Dangs,2001,186729,125422,92755,89586,53339,36247,97143,40635,56508,11772,7039,4733,92993,49206,43787,93736,44768,48968
Thanjavur,2001,2216138,2071101,1119500,1476256,814354,661902,739882,282284,457598,300437,185665,114772,897123,618471,278652,1319015,478167,840848
Thane,2001,8131849,900635,3754102,5635799,3295251,2340548,2496050,1082496,1413554,176030,94793,81237,3179981,2443327,736654,4951868,1934420,3017448
Tehri Garhwal,2001,604747,118327,309579,337816,208251,129565,266931,86917,180014,1508,1048,460,264715,133016,131699,340032,162152,177880
Tawang,2001,38924,1643251,17078,15337,11160,4177,23587,10686,12901,145,78,67,21727,13873,7854,17197,7973,9224
Tamenglong,2001,111499,108392,53485,56819,34329,22490,54680,23685,30995,398,208,190,50863,27036,23827,60636,30978,29658
Surguja,2001,1972094,224542,972044,873459,547006,326453,1098635,453044,645591,120251,78920,41331,982041,554457,427584,990053,445593,544460
Surendranagar,2001,1515148,370359,727498,781155,487094,294061,733993,300556,433437,128708,83517,45191,647609,425491,222118,867539,362159,505380
Surat,2001,4995174,460887,2272635,3206404,1914423,1291981,1788770,808116,980654,361598,196727,164871,2182509,1652118,530391,2812665,1070421,1742244
Supaul,2001,1732578,965462,830371,509025,372961,136064,1223553,529246,694307,272105,186977,85128,728222,454299,273923,1004356,447908,556448
Sundargarh,2001,1830673,646385,895072,1015485,603510,411975,815188,332091,483097,64797,41117,23680,738803,480285,258518,1091870,455316,636554
Sultanpur,2001,3214832,1444921,1591013,1448422,920508,527914,1766410,703311,1063099,128945,93250,35695,1032520,725043,307477,2182312,898776,1283536
Srinagar,2001,1202447,1402396,552956,641267,405708,235559,561180,243783,317397,8168,7344,824,384669,325635,59034,817778,323856,493922
Srikakulam,2001,2537593,962620,1277573,1217659,731778,485881,1319934,528242,791692,318161,176284,141877,1201816,711135,490681,1335777,548885,786892
South West,2001,1755041,2232480,771426,1258033,761917,496116,497008,221698,275310,1789,1426,363,602546,520999,81547,1152495,462616,689879
South Tripura,2001,767440,NA,372835,459502,267091,192411,307938,127514,180424,55258,40079,15179,303694,205765,97929,463746,188840,274906
South Goa,2001,589095,2913122,290349,418894,228442,190452,170201,70304,99897,5519,3080,2439,215227,157963,57264,373868,140783,233085
South Garo Hills,2001,100980,3069426,48973,43816,25340,18476,57164,26667,30497,2876,1853,1023,47848,26491,21357,53132,25516,27616
South Twenty Four Parganas,2001,6906689,904835,3341696,4067343,2399713,1667630,2839346,1165280,1674066,328719,309515,19204,2242760,1847490,395270,4663929,1717503,2946426
South,2001,2233841,1777662,998020,1551839,931601,620238,682002,304220,377782,2656,1819,837,794344,661190,133154,1439497,574631,864866
Sonitpur,2001,1681513,208368,809945,830579,494965,335614,850934,376603,474331,33526,25885,7641,634723,438909,195814,1046790,432659,614131
Sonipat,2001,1279175,3015422,583452,788105,486601,301504,491070,209122,281948,36993,25719,11274,523031,345450,177581,756144,350273,405871
Sonbhadra,2001,1463519,1533612,692622,571318,387808,183510,892201,383089,509112,86426,56826,29600,537935,364589,173346,925584,406308,519276
Sonapur,2001,541835,1533612,266234,291931,186549,105382,249904,89052,160852,42032,30478,11554,236980,149776,87204,304855,125825,179030
Solapur,2001,3849543,1533612,1859920,2336825,1384746,952079,1512718,604877,907841,377394,186349,191045,1743041,1056182,686859,2106502,933441,1173061
Solan,2001,500557,1533612,230266,332410,199444,132966,168147,70847,97300,3385,2654,731,263445,165277,98168,237112,105014,132098
Siwan,2001,2714349,1533612,1378066,1118027,707675,410352,1596322,628608,967714,122101,88531,33570,730437,554320,176117,1983912,781963,1201949
Sivaganga,2001,1155356,1533612,588409,738000,414755,323245,417356,152192,265164,79857,41449,38408,513502,316419,197083,641854,250528,391326
Sitapur,2001,3619661,1533612,1678287,1404443,943222,461221,2215218,998152,1217066,135786,124546,11240,1125509,982619,142890,2494152,958755,1535397
Sitamarhi,2001,2682720,1533612,1265109,817711,556936,260775,1865009,860675,1004334,380581,341749,38832,855156,713467,141689,1827564,704144,1123420
Sirsa,2001,1116649,1533612,523404,574624,350958,223666,542025,242287,299738,66210,50370,15840,475571,314706,160865,641078,278539,362539
Sirohi,2001,851107,1533612,413158,367938,244514,123424,483169,193435,289734,22894,13269,9625,343905,219491,124414,507202,218458,288744
Sirmaur,2001,458593,1533612,217294,274643,163415,111228,183950,77884,106066,2775,2111,664,225872,136029,89843,232721,105270,127451
Sindhudurg,2001,868825,1533612,450935,612919,328199,284720,255906,89691,166215,23963,15387,8576,404985,228357,176628,463840,189533,274307
Sikar,2001,2287788,1533612,1115035,1317144,801815,515329,970644,370938,599706,25050,18349,6701,887915,537197,350718,1399873,635556,764317
Sidhi,2001,1831152,1533612,883322,759929,508382,251547,1071223,439448,631775,126032,78950,47082,757585,455149,302436,1073567,492681,580886
Siddharthnagar,2001,2040085,1533612,992920,678900,467825,211075,1361185,579340,781845,101839,72053,29786,776487,498952,277535,1263598,548213,715385
Sibsagar,2001,1051736,1533612,506260,672158,382936,289222,379578,162540,217038,7510,5536,1974,430523,280084,150439,621213,265392,355821
Shrawasti,2001,1176391,1674271,544475,318353,238366,79987,858038,393550,464488,48775,39076,9699,486475,345175,141300,689916,286741,403175
Shivpuri,2001,1441950,3131619,665760,682555,465476,217079,759395,310714,448681,59303,36421,22882,652270,403971,248299,789680,372219,417461
Shimoga,2001,1642545,1806918,811986,1068934,593890,475044,573611,236669,336942,143352,83102,60250,714671,487349,227322,927874,343210,584664
Shimla,2001,722502,1806918,341506,504330,293745,210585,218172,87251,130921,6977,4586,2391,370223,219133,151090,352279,161863,190416
Sheopur,2001,559495,1806918,264198,207536,146457,61079,351959,148840,203119,24140,18312,5828,229277,145967,83310,330218,149330,180888
Sheohar,2001,515961,1806918,242281,144444,98775,45669,371517,174905,196612,78792,71716,7076,161218,137542,23676,354743,136138,218605
Sheikhpura,2001,525502,1806918,251510,202035,134917,67118,323467,139075,184392,57268,37179,20089,194396,131570,62826,331106,142422,188684
Shajapur,2001,1290685,1806918,620833,748357,456982,291375,542328,212870,329458,103840,65711,38129,629791,368979,260812,660894,300873,360021
Shahjahanpur,2001,2547855,1806918,1164447,1004296,668242,336054,1543559,715166,828393,103681,100150,3531,729525,675254,54271,1818330,708154,1110176
Shahdol,2001,1575303,1806918,770315,767630,480446,287184,807673,324542,483131,87362,51423,35939,681924,419967,261957,893379,385021,508358
Serchhip,2001,53861,1806918,26481,42582,21906,20676,11279,5474,5805,575,366,209,32523,17104,15419,21338,10276,11062
Seoni,2001,1166608,1806918,577858,636216,377563,258653,530392,211187,319205,117157,67974,49183,569060,317794,251266,597548,270956,326592
Senapati,2001,156513,1806918,76283,80507,46922,33585,76006,33308,42698,3048,1859,1189,71888,40281,31607,84625,39949,44676
Sehore,2001,1078912,1806918,513775,550972,354429,196543,527940,210708,317232,70630,48383,22247,451442,276051,175391,627470,289086,338384
